Turtle ID,Observation Date,Observation Time,Latitude,Longitude
ST2013-250,24-Nov-13,16:15,41.781254,-70.040026
ST2013-251,24-Nov-13,16:20,41.775993,-70.054525
ST2013-252,24-Nov-13,16:22,41.798668,-70.01123
ST2013-253,24-Nov-13,16:23,41.781722,-70.038995
ST2013-254,24-Nov-13,16:29,41.772117,-70.06742
ST2013-255,24-Nov-13,16:30,41.772588,-70.065426
ST2013-256,24-Nov-13,16:31,41.768916,-70.082964
ST2013-257,24-Nov-13,16:32,41.792746,-70.019115
ST2013-258,24-Nov-13,16:33,41.786539,-70.028686
ST2013-259,24-Nov-13,16:10,41.806016,-70.004446
ST2013-260,24-Nov-13,16:31,41.771944,-70.07625
ST2013-261,24-Nov-13,16:31,41.773031,-70.072543
ST2013-262,24-Nov-13,16:40,41.795809,-70.015737
ST2013-263,24-Nov-13,16:40,41.795988,-70.014761
ST2013-265,24-Nov-13,12:00,41.776511,-70.052911
ST2013-229,23-Nov-13,7:30,41.882614,-70.006003
ST2013-230,23-Nov-13,8:30,41.789858,-70.029891
ST2013-231,23-Nov-13,11:30,41.842635,-70.00511
ST2013-233,23-Nov-13,15:00,41.799189,-70.01041
ST2013-234,23-Nov-13,15:30,41.99478,-70.079682
ST2013-235,23-Nov-13,15:40,41.972832,-70.07691
ST2013-237,23-Nov-13,16:45,41.915773,-70.062603
ST2013-223,21-Nov-13,2:00,41.768825,-70.08322
ST2013-224,21-Nov-13,10:06,41.773006,-70.071696
ST2013-225,21-Nov-13,9:30,41.758129,-70.148987
ST2013-226,21-Nov-13,9:50,41.7589,-70.145458
ST2013-227,21-Nov-13,16:30,41.755922,-70.158984
ST2013-228,21-Nov-13,17:00,41.763432,-70.105297
ST2013-214,20-Nov-13,5:50,41.786425,-70.028735
ST2013-215,20-Nov-13,8:15,41.781027,-70.040537
ST2013-216,20-Nov-13,9:20,41.919286,-70.072533
ST2013-217,20-Nov-13,9:20,41.918627,-70.072375
ST2013-218,20-Nov-13,12:30,41.769178,-70.082153
ST2013-219,20-Nov-13,14:00,41.764106,-70.103256
ST2013-220,20-Nov-13,14:24,41.780476,-70.041798
ST2013-221,20-Nov-13,14:35,41.777552,-70.050198
ST2013-222,20-Nov-13,15:37,41.75784,-70.148237
ST2013-212,19-Nov-13,16:20,41.924948,-70.031645
ST2013-213,19-Nov-13,16:30,42.007838,-70.082614
