Turtle ID,Observation Date,Observation Time,Latitude,Longitude
ST2012-595,31-Dec-12,8:30,41.742227,-70.217861
ST2012-597,31-Dec-12,7:30,41.752908,-70.173329
ST2012-598,31-Dec-12,7:30,41.752908,-70.173329
ST2012-599,31-Dec-12,15:00,41.750876,-70.191846
ST2012-600,31-Dec-12,16:30,41.718405,-70.239708
ST2012-586,30-Dec-12,0:30,41.8096,-70.0561
ST2012-587,30-Dec-12,9:30,41.7558,-70.1645
ST2012-588,30-Dec-12,10:00,41.7364,-70.349
ST2012-589,30-Dec-12,10:05,41.7366,-70.3505
ST2012-590,30-Dec-12,10:30,41.7431,-70.4075
ST2012-591,30-Dec-12,10:50,41.7504,-70.1867
ST2012-583,29-Dec-12,,41.755819,-70.164868
ST2012-584,29-Dec-12,8:30,41.750651,-70.192659
ST2012-585,29-Dec-12,9:30,41.737686,-70.226469
ST2012-577,28-Dec-12,9:00,41.7364,-70.3493
ST2012-578,28-Dec-12,7:30,41.7318,-70.2843
ST2012-579,28-Dec-12,,41.7527,-70.1326
ST2012-580,28-Dec-12,12:00,41.7961,-70.0145
ST2012-581,28-Dec-12,12:00,41.790499,-70.021556
ST2012-582,28-Dec-12,13:58,41.745665,-70.207844
ST2012-574,27-Dec-12,12:28,42.0486,-70.0724
ST2012-575,27-Dec-12,14:00,41.8651,-70.0082
ST2012-560,26-Dec-12,,41.7728,-70.0726
ST2012-561,26-Dec-12,,41.769,-70.0828
ST2012-562,26-Dec-12,7:46,41.7525,-70.1743
ST2012-563,26-Dec-12,,41.7555,-70.1661
ST2012-564,26-Dec-12,,41.7781,-70.0475
ST2012-565,26-Dec-12,,41.7762,-70.0536
ST2012-566,26-Dec-12,,41.7302,-70.2361
ST2012-567,26-Dec-12,,41.769,-70.0827
ST2012-568,26-Dec-12,,41.71,-70.2891
ST2012-569,26-Dec-12,,41.7685,-70.091
ST2012-570,26-Dec-12,,41.7103,-70.276
ST2012-571,26-Dec-12,14:00,41.749089,-70.197146
ST2012-572,26-Dec-12,15:00,41.7491,-70.1977
ST2012-551,24-Dec-12,8:45,41.831103,-70.004196
ST2012-552,24-Dec-12,9:00,42.009595,-70.083206
ST2012-553,24-Dec-12,9:10,41.845389,-70.005554
ST2012-554,24-Dec-12,,41.925565,-70.073048
ST2012-556,24-Dec-12,13:10,41.99881,-70.080287
ST2012-558,24-Dec-12,18:30,41.843738,-70.005274
ST2012-546,23-Dec-12,7:30,41.757844,-70.148187
ST2012-547,23-Dec-12,12:35,41.896267,-70.071733
ST2012-548,23-Dec-12,11:52,41.959217,-70.077283
ST2012-541,22-Dec-12,7:30,41.597083,-70.648095
ST2012-542,22-Dec-12,,41.755961,-70.159195
ST2012-544,22-Dec-12,12:30,41.89834,-70.071204
ST2012-545,22-Dec-12,12:35,41.897971,-70.071264
ST2012-537,21-Dec-12,3:00,41.750622,-70.187211
ST2012-538,21-Dec-12,8:30,41.71007,-70.295011
ST2012-539,21-Dec-12,9:10,41.736794,-70.359047
ST2012-522,20-Dec-12,7:00,41.750483,-70.184793
ST2012-523,20-Dec-12,8:00,41.741718,-70.218996
ST2012-524,20-Dec-12,8:01,41.741658,-70.219031
ST2012-525,20-Dec-12,8:01,41.778862,-70.046326
ST2012-526,20-Dec-12,,41.774028,-70.06135
ST2012-529,20-Dec-12,,41.74761,-70.201969
St2012-530,20-Dec-12,,41.745073,-70.209881
ST2012-531,20-Dec-12,,41.736461,-70.349823
ST2012-532,20-Dec-12,,41.735482,-70.320631
ST2012-533,20-Dec-12,14:00,41.749171,-70.196981
ST2012-534,20-Dec-12,14:00,41.748997,-70.197856
ST2012-535,20-Dec-12,14:30,41.749347,-70.196569
ST2012-536,20-Dec-12,17:00,41.798986,-70.010905
ST2012-519,19-Dec-12,10:00,41.934231,-70.073063
ST2012-518,18-Dec-12,10:00,42.269273,-70.853478
ST2012-508,16-Dec-12,8:00,41.75046,-70.184052
ST2012-509,16-Dec-12,,41.750664,-70.182678
ST2012-510,16-Dec-12,,41.720034,-70.668498
ST2012-512,16-Dec-12,9:25,41.9314,-70.073071
ST2012-515,16-Dec-12,13:15,41.799804,-70.009643
ST2012-483,15-Dec-12,0:15,41.990028,-70.078893
ST2012-484,15-Dec-12,12:20,41.985189,-70.077634
ST2012-485,15-Dec-12,12:35,41.981365,-70.077179
ST2012-486,15-Dec-12,12:20,41.956966,-70.076707
ST2012-487,15-Dec-12,0:30,41.953988,-70.076807
ST2012-489,15-Dec-12,,41.940516,-70.075172
ST2012-491,15-Dec-12,8:30,42.011676,-70.084253
ST2012-493,15-Dec-12,9:15,41.770403,-70.079601
ST2012-494,15-Dec-12,9:20,41.770267,-70.079938
ST2012-495,15-Dec-12,11:00,42.029726,-70.093224
ST2012-496,15-Dec-12,11:15,41.921577,-70.072531
ST2012-498,15-Dec-12,11:30,41.908751,-70.07183
ST2012-499,15-Dec-12,11:35,41.924726,-70.073122
ST2012-500,15-Dec-12,13:10,41.77913,-70.045105
ST2012-501,15-Dec-12,13:20,41.787011,-70.02613
ST2012-502,15-Dec-12,13:45,41.976855,-70.077127
ST2012-503,15-Dec-12,,41.768179,-70.085628
ST2012-504,15-Dec-12,13:50,41.785722,-70.030572
ST2012-505,15-Dec-12,13:15,41.769462,-70.08154
ST2012-470,14-Dec-12,11:15,41.957201,-70.076755
ST2012-471,14-Dec-12,11:20,41.95559,-70.076361
ST2012-472,14-Dec-12,,41.981509,-70.077378
ST2012-473,14-Dec-12,,41.894767,-70.070712
ST2012-474,14-Dec-12,14:19,41.979062,-70.077083
ST2012-475,14-Dec-12,14:35,41.918741,-70.072544
ST2012-476,14-Dec-12,14:35,41.91539,-70.072372
ST2012-477,14-Dec-12,14:35,41.906022,-70.071773
ST2012-480,14-Dec-12,14:35,41.929901,-70.073329
ST2012-481,14-Dec-12,14:35,41.916908,-70.072217
ST2012-482,14-Dec-12,14:45,41.948581,-70.077385
ST2012-492,14-Dec-12,,41.750369,-70.185804
ST2012-459,13-Dec-12,10:00,41.757591,-70.148899
ST2012-460,13-Dec-12,10:00,41.750659,-70.183117
ST2012-461,13-Dec-12,10:00,41.750887,-70.181821
ST2012-462,13-Dec-12,11:30,41.943238,-70.076561
ST2012-463,13-Dec-12,10:00,41.743501,-70.214482
ST2012-464,13-Dec-12,15:30,41.914358,-70.072441
ST2012-465,13-Dec-12,14:35,41.9506,-70.0765
ST2012-468,13-Dec-12,,41.75145,-70.178706
ST2012-453,12-Dec-12,10:00,41.755965,-70.164023
ST2012-455,12-Dec-12,13:00,41.934609,-70.073076
ST2012-456,12-Dec-12,15:00,41.93767,-70.073292
ST2012-457,12-Dec-12,15:00,41.942437,-70.07578
ST2012-458,12-Dec-12,17:00,41.759311,-70.130968
ST2012-451,11-Dec-12,15:00,41.930346,-70.045058
ST2012-452,11-Dec-12,13:00,41.751375,-70.179627
ST2012-450,10-Dec-12,11:50,41.750928,-70.191783
ST2012-439,9-Dec-12,,41.750433,-70.186172
ST2012-440,9-Dec-12,,41.750396,-70.185529
ST2012-442,9-Dec-12,8:30,41.930082,-70.073229
ST2012-443,9-Dec-12,10:00,41.935208,-70.073143
ST2012-444,9-Dec-12,10:00,41.964261,-70.077077
ST2012-445,9-Dec-12,9:30,41.913954,-70.072383
ST2012-446,9-Dec-12,9:30,41.913456,-70.072383
ST2012-447,9-Dec-12,11:40,41.945533,-70.076844
ST2012-448,9-Dec-12,11:30,41.891385,-70.069447
ST2012-449,9-Dec-12,15:30,41.957993,-70.077469
ST2012-434,8-Dec-12,11:30,41.755472,-70.163348
ST2012-435,8-Dec-12,11:35,41.755611,-70.163731
ST2012-436,8-Dec-12,11:37,41.755861,-70.164273
ST2012-437,8-Dec-12,11:42,41.754878,-70.167284
ST2012-438,8-Dec-12,12:00,41.75449,-70.168421
ST2012-430,7-Dec-12,6:45,41.786924,-70.027249
ST2012-431,7-Dec-12,11:00,41.735991,-70.228587
ST2012-432,7-Dec-12,13:30,41.751799,-70.17799
ST2012-417,6-Dec-12,8:30,41.897397,-70.071305
ST2012-419,6-Dec-12,9:00,41.964141,-70.07699
ST2012-422,6-Dec-12,8:30,41.756784,-70.151087
ST2012-423,6-Dec-12,9:30,41.750035,-70.19458
ST2012-424,6-Dec-12,10:30,41.723021,-70.234967
ST2012-425,6-Dec-12,12:00,41.759695,-70.136881
ST2012-426,6-Dec-12,,41.752121,-70.175646
ST2012-427,6-Dec-12,13:00,41.784068,-70.033728
ST2012-428,6-Dec-12,16:20,41.943438,-70.076411
ST2012-429,6-Dec-12,18:05,42.001631,-70.081014
ST2012-416,5-Dec-12,9:00,42.055449,-70.133241
ST2012-415,4-Dec-12,11:15,41.750767,-70.192326
ST2012-411,3-Dec-12,9:30,42.009608,-70.083262
ST2012-413,3-Dec-12,10:30,41.756138,-70.157378
ST2012-414,3-Dec-12,10:30,41.99361,-70.079759
ST2012-399,2-Dec-12,9:30,41.755438,-70.1626
ST2012-400,2-Dec-12,9:30,41.75539,-70.162997
ST2012-401,2-Dec-12,9:30,41.772278,-70.075561
ST2012-402,2-Dec-12,,41.760243,-70.119549
ST2012-403,2-Dec-12,12:30,41.727051,-70.239832
ST2012-404,2-Dec-12,12:30,41.747725,-70.426847
ST2012-405,2-Dec-12,16:00,41.733133,-70.290603
ST2012-406,2-Dec-12,16:00,41.755867,-70.161021
ST2012-407,2-Dec-12,16:00,41.755867,-70.161021
ST2012-409,2-Dec-12,16:00,41.755867,-70.161021
ST2012-410,2-Dec-12,16:00,41.755994,-70.160579
ST2012-380,1-Dec-12,9:00,41.750506,-70.186609
ST2012-381,1-Dec-12,9:30,41.866348,-70.008333
ST2012-382,1-Dec-12,6:00,41.755689,-70.161491
ST2012-383,1-Dec-12,9:20,41.756815,-70.151092
ST2012-384,1-Dec-12,9:20,41.756459,-70.152589
ST2012-385,1-Dec-12,9:40,41.763967,-70.103434
ST2012-386,1-Dec-12,12:30,41.736607,-70.352438
ST2012-387,1-Dec-12,12:35,41.736607,-70.352438
ST2012-388,1-Dec-12,8:25,41.735607,-70.329198
ST2012-389,1-Dec-12,11:00,41.898685,-70.070934
ST2012-390,1-Dec-12,11:02,41.901375,-70.071197
ST2012-391,1-Dec-12,11:20,41.917958,-70.072493
ST2012-392,1-Dec-12,13:30,41.740831,-70.220965
ST2012-393,1-Dec-12,14:35,41.739417,-70.223889
ST2012-394,1-Dec-12,16:00,41.735341,-70.322314
ST2012-395,1-Dec-12,16:15,41.741506,-70.397688
ST2012-396,1-Dec-12,14:00,41.739955,-70.222662
ST2012-397,1-Dec-12,14:30,41.740442,-70.222074
ST2012-398,1-Dec-12,15:00,41.741926,-70.218918
ST2012-363,30-Nov-12,,41.872778,-70.009152
ST2012-364,30-Nov-12,0:15,41.8435,-70.005179
ST2012-365,30-Nov-12,,41.837232,-70.004383
ST2012-366,30-Nov-12,8:41,41.726977,-70.240029
ST2012-367,30-Nov-12,7:37,41.762064,-70.112633
ST2012-368,30-Nov-12,11:00,41.799672,-70.007421
ST2012-369,30-Nov-12,13:00,41.768561,-70.057757
ST2012-370,30-Nov-12,13:30,41.796318,-70.013297
ST2012-371,30-Nov-12,13:30,41.789481,-70.022308
ST2012-372,30-Nov-12,13:30,41.799743,-70.01011
ST2012-373,30-Nov-12,13:35,41.776146,-70.053832
ST2012-374,30-Nov-12,13:40,41.727439,-70.239563
ST2012-375,30-Nov-12,,41.750422,-70.185078
ST2012-376,30-Nov-12,14:01,41.755443,-70.166669
ST2012-377,30-Nov-12,13:50,41.727988,-70.238884
ST2012-378,30-Nov-12,11:00,41.735307,-70.31884
ST2012-379,30-Nov-12,16:42,41.742106,-70.401395
ST2012-341,29-Nov-12,0:30,41.794722,-70.016699
ST2012-342,29-Nov-12,0:45,41.791413,-70.020426
ST2012-343,29-Nov-12,0:45,41.769182,-70.082351
ST2012-344,29-Nov-12,,41.768467,-70.084331
ST2012-345,29-Nov-12,,41.768467,-70.084331
ST2012-346,29-Nov-12,7:30,41.750543,-70.186811
ST2012-347,29-Nov-12,10:00,41.76845,-70.087036
ST2012-348,29-Nov-12,10:00,41.773473,-70.06287
